index,lang_id
1,ssw
2,nbl
3,ssw
4,ssw
5,nbl
6,nso
7,nbl
8,ssw
9,zul
10,nbl
11,zul
12,nbl
13,nbl
14,sot
15,tso
16,xho
17,nbl
18,nbl
19,afr
20,zul
21,zul
22,ssw
23,zul
24,nbl
25,nbl
26,zul
27,nbl
28,afr
29,nso
30,tso
31,zul
32,xho
33,sot
34,nso
35,ssw
36,afr
37,nso
38,xho
39,sot
40,eng
41,xho
42,zul
43,xho
44,nbl
45,ssw
46,nbl
47,zul
48,ven
49,nbl
50,nbl
51,sot
52,nbl
53,sot
54,sot
55,ssw
56,ven
57,nbl
58,xho
59,zul
60,sot
61,afr
62,tso
63,afr
64,zul
65,xho
66,nbl
67,sot
68,nso
69,nbl
70,zul
71,zul
72,tso
73,nbl
74,nso
75,zul
76,nbl
77,xho
78,tso
79,xho
80,nbl
81,nbl
82,nbl
83,nbl
84,nbl
85,ssw
86,nso
87,sot
88,xho
89,tso
90,xho
91,ssw
92,nbl
93,zul
94,sot
95,xho
96,nso
97,nbl
98,ssw
99,ven
100,nbl
101,nbl
102,tso
103,nso
104,ssw
105,ven
106,ven
107,nbl
108,nso
109,sot
110,sot
111,nbl
112,nbl
113,zul
114,zul
115,zul
116,sot
117,afr
118,nbl
119,zul
120,nbl
121,sot
122,eng
123,nbl
124,tso
125,nso
126,afr
127,ssw
128,ssw
129,xho
130,ssw
131,tso
132,xho
133,zul
134,sot
135,nbl
136,nbl
137,zul
138,sot
139,zul
140,afr
141,sot
142,ssw
143,nbl
144,nso
145,nbl
146,xho
147,nbl
148,sot
149,xho
150,nbl
151,nso
152,xho
153,xho
154,xho
155,nbl
156,zul
157,ssw
158,ssw
159,eng
160,sot
161,zul
162,tso
163,ssw
164,xho
165,ssw
166,sot
167,zul
168,zul
169,eng
170,nbl
171,zul
172,zul
173,xho
174,afr
175,nbl
176,nso
177,nbl
178,nbl
179,tso
180,xho
181,zul
182,nso
183,ssw
184,zul
185,sot
186,sot
187,zul
188,xho
189,zul
190,nbl
191,nbl
192,tso
193,sot
194,ssw
195,zul
196,xho
197,sot
198,zul
199,zul
200,nbl
201,nso
202,nbl
203,nbl
204,nbl
205,nbl
206,zul
207,ssw
208,ven
209,tsn
210,nbl
211,zul
212,tso
213,afr
214,nbl
215,ven
216,afr
217,xho
218,nbl
219,afr
220,eng
221,ssw
222,ven
223,afr
224,eng
225,ssw
226,xho
227,xho
228,eng
229,zul
230,nso
231,zul
232,ven
233,ven
234,sot
235,xho
236,xho
237,sot
238,tso
239,sot
240,nso
241,xho
242,nbl
243,zul
244,nbl
245,zul
246,nbl
247,xho
248,nso
249,zul
250,zul
251,zul
252,sot
253,sot
254,afr
255,nbl
256,zul
257,nso
258,nbl
259,nbl
260,nbl
261,zul
262,nbl
263,nbl
264,sot
265,nbl
266,xho
267,xho
268,ssw
269,zul
270,afr
271,nso
272,afr
273,zul
274,nso
275,ssw
276,sot
277,ssw
278,xho
279,sot
280,nbl
281,xho
282,nso
283,zul
284,ssw
285,eng
286,ssw
287,nbl
288,zul
289,xho
290,tsn
291,nso
292,nso
293,tso
294,nbl
295,nbl
296,xho
297,nbl
298,zul
299,zul
300,sot
301,zul
302,afr
303,nbl
304,ssw
305,nbl
306,eng
307,tsn
308,sot
309,ven
310,xho
311,ssw
312,zul
313,ssw
314,xho
315,nbl
316,nbl
317,afr
318,nbl
319,nbl
320,nbl
321,ssw
322,xho
323,sot
324,nso
325,xho
326,afr
327,nbl
328,nbl
329,ven
330,afr
331,nbl
332,nbl
333,zul
334,ssw
335,sot
336,afr
337,afr
338,ssw
339,tso
340,sot
341,nso
342,ssw
343,xho
344,ven
345,ssw
346,nbl
347,nbl
348,xho
349,nbl
350,nbl
351,ssw
352,nbl
353,nso
354,nso
355,nbl
356,zul
357,xho
358,nso
359,nbl
360,zul
361,afr
362,nbl
363,xho
364,tso
365,tso
366,nbl
367,zul
368,xho
369,ssw
370,afr
371,nbl
372,afr
373,zul
374,xho
375,ssw
376,nbl
377,nso
378,zul
379,nso
380,nso
381,xho
382,nbl
383,xho
384,nbl
385,afr
386,ssw
387,nbl
388,sot
389,zul
390,sot
391,ssw
392,afr
393,nbl
394,nso
395,nbl
396,nso
397,xho
398,sot
399,afr
400,nbl
401,sot
402,ssw
403,nso
404,tsn
405,eng
406,nso
407,eng
408,nbl
409,nbl
410,zul
411,ssw
412,zul
413,zul
414,nso
415,xho
416,nbl
417,ssw
418,zul
419,tso
420,tso
421,xho
422,ven
423,zul
424,xho
425,nbl
426,afr
427,sot
428,nbl
429,xho
430,zul
431,nso
432,ssw
433,nbl
434,zul
435,zul
436,nbl
437,ssw
438,ssw
439,ssw
440,nbl
441,nso
442,xho
443,sot
444,xho
445,ssw
446,zul
447,tso
448,zul
449,xho
450,nbl
451,xho
452,nbl
453,ven
454,eng
455,nbl
456,ven
457,nbl
458,ssw
459,sot
460,ssw
461,xho
462,ssw
463,xho
464,sot
465,ven
466,xho
467,ssw
468,nbl
469,zul
470,nbl
471,nbl
472,xho
473,xho
474,afr
475,nso
476,nbl
477,xho
478,tsn
479,sot
480,nbl
481,zul
482,ssw
483,afr
484,zul
485,nbl
486,zul
487,eng
488,ven
489,nso
490,nso
491,nso
492,nbl
493,xho
494,ven
495,nso
496,zul
497,xho
498,nbl
499,zul
500,ven
501,nbl
502,ssw
503,nbl
504,nbl
505,xho
506,ssw
507,xho
508,sot
509,afr
510,nbl
511,afr
512,nbl
513,nbl
514,nbl
515,ssw
516,nbl
517,xho
518,nbl
519,tso
520,ven
521,ssw
522,xho
523,xho
524,nbl
525,xho
526,xho
527,ssw
528,xho
529,sot
530,nbl
531,nso
532,nbl
533,nbl
534,ssw
535,ssw
536,ssw
537,nbl
538,xho
539,ven
540,nbl
541,nbl
542,zul
543,nbl
544,nbl
545,ssw
546,tso
547,xho
548,eng
549,nbl
550,xho
551,nbl
552,eng
553,zul
554,nbl
555,ven
556,ssw
557,nbl
558,ssw
559,xho
560,nbl
561,xho
562,xho
563,afr
564,zul
565,nbl
566,xho
567,nbl
568,xho
569,xho
570,zul
571,nbl
572,nbl
573,sot
574,ssw
575,nbl
576,nbl
577,nbl
578,nbl
579,afr
580,ssw
581,xho
582,sot
583,xho
584,nbl
585,afr
586,ven
587,eng
588,eng
589,afr
590,zul
591,xho
592,sot
593,nbl
594,afr
595,nbl
596,xho
597,ssw
598,ven
599,ven
600,afr
601,nbl
602,afr
603,nso
604,nso
605,nbl
606,xho
607,nbl
608,afr
609,ssw
610,ven
611,nbl
612,sot
613,nbl
614,ssw
615,afr
616,ssw
617,nbl
618,ssw
619,zul
620,tso
621,tso
622,nbl
623,xho
624,xho
625,tsn
626,zul
627,xho
628,nbl
629,ven
630,xho
631,ssw
632,nbl
633,ssw
634,sot
635,afr
636,xho
637,nbl
638,zul
639,sot
640,nbl
641,xho
642,tso
643,tsn
644,tso
645,xho
646,afr
647,xho
648,ssw
649,tso
650,sot
651,nbl
652,xho
653,nbl
654,nso
655,ven
656,afr
657,sot
658,sot
659,sot
660,nbl
661,xho
662,ssw
663,nbl
664,tso
665,ven
666,nbl
667,sot
668,xho
669,sot
670,zul
671,nso
672,afr
673,xho
674,nbl
675,xho
676,nbl
677,afr
678,afr
679,ssw
680,nso
681,nbl
682,xho
683,ssw
684,zul
685,sot
686,nbl
687,nbl
688,ssw
689,nbl
690,ssw
691,eng
692,afr
693,nbl
694,zul
695,zul
696,zul
697,tso
698,nso
699,nbl
700,ssw
701,sot
702,tso
703,xho
704,xho
705,sot
706,nbl
707,xho
708,nbl
709,zul
710,nso
711,sot
712,nbl
713,zul
714,tso
715,zul
716,sot
717,zul
718,tso
719,xho
720,eng
721,xho
722,afr
723,nbl
724,nbl
725,nbl
726,nbl
727,nbl
728,nbl
729,sot
730,nbl
731,xho
732,sot
733,sot
734,nbl
735,eng
736,afr
737,ssw
738,eng
739,afr
740,nbl
741,ssw
742,sot
743,nbl
744,nbl
745,eng
746,nbl
747,nbl
748,tso
749,xho
750,zul
751,ssw
752,afr
753,ssw
754,nbl
755,eng
756,tsn
757,nbl
758,tso
759,tso
760,ssw
761,zul
762,ssw
763,nso
764,xho
765,xho
766,nso
767,nso
768,tsn
769,sot
770,ssw
771,eng
772,nbl
773,ssw
774,afr
775,eng
776,nbl
777,nbl
778,ssw
779,afr
780,nbl
781,xho
782,zul
783,nbl
784,nbl
785,sot
786,afr
787,nbl
788,nbl
789,nso
790,tso
791,zul
792,nbl
793,nbl
794,tso
795,eng
796,ssw
797,nbl
798,nbl
799,nbl
800,ssw
801,nbl
802,zul
803,tsn
804,nso
805,xho
806,tso
807,nbl
808,nbl
809,zul
810,xho
811,eng
812,nso
813,xho
814,xho
815,nbl
816,tsn
817,xho
818,nbl
819,afr
820,nbl
821,afr
822,nbl
823,nso
824,nbl
825,nbl
826,sot
827,zul
828,nso
829,nbl
830,nbl
831,nbl
832,nbl
833,ssw
834,ssw
835,eng
836,nbl
837,zul
838,afr
839,nbl
840,nso
841,xho
842,ven
843,nbl
844,ssw
845,nbl
846,nbl
847,ssw
848,nbl
849,sot
850,nbl
851,nbl
852,zul
853,zul
854,nbl
855,zul
856,sot
857,afr
858,nbl
859,xho
860,afr
861,xho
862,nbl
863,nbl
864,nbl
865,xho
866,nbl
867,ssw
868,afr
869,nso
870,ven
871,xho
872,nbl
873,xho
874,xho
875,nso
876,sot
877,nbl
878,nbl
879,xho
880,ssw
881,nbl
882,xho
883,ven
884,nbl
885,xho
886,zul
887,zul
888,nso
889,nbl
890,nbl
891,sot
892,xho
893,tso
894,nbl
895,nbl
896,sot
897,ven
898,zul
899,eng
900,nbl
901,zul
902,zul
903,nbl
904,nbl
905,sot
906,ssw
907,xho
908,xho
909,nbl
910,ven
911,nbl
912,zul
913,ssw
914,nso
915,nso
916,nbl
917,ven
918,ssw
919,tsn
920,nbl
921,sot
922,xho
923,nbl
924,afr
925,sot
926,nbl
927,sot
928,ssw
929,afr
930,xho
931,zul
932,tso
933,xho
934,nbl
935,nbl
936,nbl
937,nbl
938,nbl
939,ssw
940,tso
941,ssw
942,nbl
943,tso
944,nbl
945,nso
946,afr
947,ven
948,nso
949,nbl
950,ssw
951,zul
952,nbl
953,sot
954,zul
955,eng
956,sot
957,xho
958,ssw
959,ven
960,ssw
961,nso
962,tso
963,nbl
964,tso
965,afr
966,tsn
967,afr
968,tso
969,zul
970,zul
971,xho
972,nbl
973,tsn
974,zul
975,sot
976,nbl
977,tsn
978,ssw
979,nbl
980,zul
981,nbl
982,xho
983,afr
984,nbl
985,nbl
986,ssw
987,ven
988,ssw
989,afr
990,nbl
991,nbl
992,xho
993,xho
994,nbl
995,afr
996,nbl
997,nso
998,afr
999,ssw
1000,zul
1001,nbl
1002,nbl
1003,ssw
1004,sot
1005,afr
1006,xho
1007,sot
1008,xho
1009,zul
1010,xho
1011,xho
1012,zul
1013,nbl
1014,xho
1015,nbl
1016,nbl
1017,sot
1018,afr
1019,xho
1020,ssw
1021,nbl
1022,nbl
1023,ssw
1024,tso
1025,nbl
1026,afr
1027,sot
1028,nbl
1029,ssw
1030,nbl
1031,xho
1032,sot
1033,zul
1034,tso
1035,nbl
1036,nso
1037,zul
1038,nso
1039,nso
1040,afr
1041,tso
1042,ssw
1043,nbl
1044,nso
1045,tso
1046,afr
1047,xho
1048,nbl
1049,sot
1050,ssw
1051,zul
1052,nso
1053,nso
1054,ssw
1055,nso
1056,eng
1057,sot
1058,sot
1059,zul
1060,zul
1061,eng
1062,nbl
1063,ssw
1064,nbl
1065,nbl
1066,nbl
1067,nbl
1068,zul
1069,nbl
1070,nbl
1071,xho
1072,sot
1073,tso
1074,eng
1075,nbl
1076,sot
1077,nbl
1078,zul
1079,nbl
1080,sot
1081,ssw
1082,nbl
1083,xho
1084,nbl
1085,zul
1086,sot
1087,xho
1088,nbl
1089,nso
1090,ssw
1091,tso
1092,nbl
1093,ssw
1094,tso
1095,xho
1096,nbl
1097,xho
1098,ssw
1099,ssw
1100,nbl
1101,nbl
1102,zul
1103,zul
1104,sot
1105,nso
1106,xho
1107,nbl
1108,nso
1109,ssw
1110,nbl
1111,xho
1112,nbl
1113,nbl
1114,nbl
1115,afr
